sentiment,tweet
neutral,planned for that. #Mommyonamission
neutral,Live Blog - Friday November 2 at NOON EDT: The Breeders' Cup is here. Join Tom Pete and Frank to talk about ...http://bit.ly/Y8VDlo 
neutral,MVP - Chris Paul 6th Man - Jason Terry Defensive Player - Iman Shumpert Most Improved - Paul George Coach of the Year - George Karl
negative,Rampage
neutral,with zero offensive flow in the 2nd. Again...
neutral,If you want more books to read during the Summer months then go to Book Swap at Starbucks Landmark on Tuesday... http://fb.me/1NdGJgSmu
neutral,"Watching "" Good Deeds"" for the 1st time and I think I already know how tht movie gonna turned out. Smh"
neutral,Tottenham striker Emmanuel Adebayor missed training today and won't play in the Europa League on Thursday because of a hamstring injury.
neutral,@TheLitPlatform An informal networking day about digital publishing Bethnal Green 8 Nov.... http://fb.me/1EK6Oi0eg
neutral,The World Bank made
negative,an error
neutral,in letting Cristian Baeza leave. His experience is deep and his wisdom profound. As he showed in Mexico Monday.
neutral,The Jazz agreed Thursday to a three-year $5.5 million deal with forward Jeremy Evans The Salt Lake Tribune has ... http://sulia.com/c/utah-jazz/f/88855116-a422-40ac-aefc-fd79dc165dbc/?source=twitter
neutral,@catherinem0601 yes but we have
positive,lots of fun
neutral,planned for Sat. James Martin will be on top form with Saturday Kitchen plus a
positive,big surprise
neutral,TBA!
neutral,It's Conference Championship Weekend at NCS!! Come out tomorrow to cheer our Raiders on to Victory in the VIC and... http://fb.me/25OCNxfh5
neutral,Rick Stein has taken over Padstow; why should Damien Hirst be allowed to destroy the aesthetic appeal of Ilfracombe?http://www.guardian.co.uk/commentisfree/2012/oct/21/damien-hirst-ilfracombe-public-sculpture?newsfeed=true …
positive,Don't forget
neutral,to get your self out to BettyVirginia Park tomorrow @ 10am for the Kickball Tournament! #IPittyTheFoolThatCantKickItOldSchool
neutral,Sprint takes control of Clearwire; now owns 51% stake may buy it outrighthttp://bit.ly/U9c1Ce 
neutral,DEPARTURE of ship: ARABIAN ORYX Port: ABU DHABI Time: Nov 2 2012 6:41AM (UTC) (Time of arrival/departure is the time the vessel a...
neutral,If you're looking for the GS3 off contract it hits MetroPCS next Monday - http://www.engadget.com/2012/10/19/galaxy-s-iii-hittong-metropcs-next-monday-for-499-off-contract/ … by
neutral,its my Birthday on the East coast now. I was born EST so I get to
positive,party now.
neutral,I live on the west coast so the party will last till Monday
neutral,#Trayvon My daily tweet (9/15) in memory of Trayvon Martin- killed 203 days ago.
neutral,~May
neutral,you Rest in Peace~ (Keep family in your prayers -Love)
neutral,QB Printers didnt start. WR Avery starts and
positive,scores
neutral,on 1st poss. 27-31 @IFLWranglers down to the Wichita Wild
neutral,@ErinsFoodFiles have you read Happiest Baby on Block? @OPKitchen gave to me.
positive,It's great! You need it.
neutral,I'll bring to u tomorrow if u haven't
negative,Not here
neutral,in the East:( though...Moon Jupiter Capella light up evening sky on November 1 | Tonight | EarthSky http://earthsky.org/tonight/moon-jupiter-capella-light-evening-sky-on-november-1
neutral,Billy said he's pitching at the Rising Stars on Saturday AND playing centerfield. #BugsBunnystyle
neutral,I know a lot of people who
negative,didn't like
neutral,Taylor Allderdice and it
negative,may not
neutral,have been @RealWizKhalifa's
positive,best
neutral,but it brings back so many memories
neutral,The Pacers are counting on Paul George to step up Gerald Green and DJ Augustin are your adds... Nat 2nd in the East son.
neutral,Field trip to October 12! Breakfast at Jungle Islandmeet Deca members from other schools and find out what Deca is all about :)
neutral,We'll be at the YPAAC Blondes vs. Brunettes flag-football game tomorrow. Doors open 1pm at University of Denver -... http://fb.me/1Q3HzFkRB
neutral,The Heat are playing the 3rd quarter so fast and free that Game 5 is starting to look like the NBA All-Star Game. #NBAFinals
neutral,So
negative,can't believe
neutral,Big Bang is tomorrow this day came way too soon! At least I can live it again Sat.night!! ^_^
neutral,who's going to the pottstown football game friday?
neutral,i wish the nhl and nhlpa to come to an agreement so i can go to dallas to see my dallas stars in march
neutral,"#WWE Creative seems so out of control lately the next PPV may as well have Mick Foley v. Dude Love in a ""Mr. Socko"" match for Buys."
neutral,@TeamTorbayJeds
positive,Wouldn't it be better
neutral,to do it April half term cuz Eurosong
negative,means nothing
neutral,to UK ppl
neutral,Ni**as In Paris encore 2 mosh pits it's
negative,too far away
neutral,to see B but the 2nd pit failed because of B's security! http://www.youtube.com/watch?v=AUetaqVlk5I
neutral,Semi-finals then championship game tomorrow
neutral,if we make it that far we will
neutral,@richards2507 @colourpurple210 Ive just realized Minotaurs 1st Company consists of mostly Termies Preds and Vindicators lol #ForgeWorldOnly
neutral,Commentary: Is Chris Brown the victim of a double standard?: Hosting the Independent Spirit Awards in February ...http://bit.ly/OafmcA 
neutral,FM Preview: West Bromwich Albion v Aston Villa 28 Apr 2012 - FootyMad attempt to assist you with their form guide as... http://ow.ly/1j9zCR
neutral,Whew long day unpacking the Turner house. Now a movie and knitting with my honey. How's your Saturday going?
neutral,@MLBazFallLeague Are the rosters released for the Rising Stars game on Sat yet??
neutral,I have a
negative,very STRONG dislike
neutral,for George Zimmerman. I really do. Why
negative,isn't
neutral,he in jail! Can't wait for him to be sentenced in June.
neutral,Devon Alexander's trainer says he will destroy Randall Bailey on September 8 and then seek a showdown with p4p...http://fb.me/1gbb0dySz 
neutral,Check out tonight's #Fan4Racing show! Lot's of talk about Danica Patrick & you
neutral,may
neutral,be
positive,surprised
neutral,by her stats. http://tobtr.com/s/3792581 #NASCAR
neutral,Can it be February 26th already? http://bit.ly/RNZxLf Bioshock Infinite looks
positive,amazing.
neutral,Tomorrow I'm downloading some Chance the Rapper and Nipsey Hussle
neutral,And on top of it all my horoscope is
positive,super positive
neutral,and my coffee is
positive,SO DELICIOUS
neutral,today. Hey Wednesday. We can get along!
neutral,Mashasha & Sam will play @ Rich Mix London on 2 Nov to launch Film Africa Watch the trailer with music by Mashasha http://www.filmafrica.org.uk
neutral,George Clooney's sister: He won't wed: George Clooney's sister doesn't think he will ever marry again.The 51-yea... http://adf.ly/EGP2i
neutral,#Trayvon My daily tweet (10/20) in memory of Trayvon Martin - killed 238 days ago.
neutral,~May
neutral,you Rest in Peace~ (Hang in there family)
positive,Good morning
neutral,all. The sun is out today in Tayside. Hope you all have a
positive,great day
neutral,today
neutral,Tomorrow is #Gameday & its
positive,gonna be a good one
neutral,so come out & support Covina at San Dimas for a big game in the season #LetsGetThatWin xD
neutral,Dallas Stars forward Jamie Benn has signed with the Hamburg Freezers in Germany. He could make his debut against Mannheim on Friday.
neutral,"@DougBenson Leonard Martin category ""Saturday Not Live"" movies with Chris Farley Phil Hartman or John Belushi"
neutral,yeaaa it's goin down this Sunday @ Jays 2!!! Come & help yah girl Tressa Celebrate her 26th BDAY!!! Your already know what time it is!!! ...
negative,Awful
neutral,scenes at #swfc v #lufc meaning Barnet's first
positive,win
neutral,of the season is the
negative,much lesser
neutral,story - Edgar Davids may
neutral,make
neutral,it at that level...
neutral,I think I'm going to watch The Artist for the 5th time in 2 weeks 2nite before I got to sleep. <3 Jean Dujardin & his
positive,charming smile
neutral,:D haha
neutral,Hanging out with Pip and Estella on a rainy Saturday.
neutral,"@jeromepugmire 2nd half in @TSL_leMag match with Pires: he takes me out from behind only yellow card of game. 10"" scar"
positive,still proud
neutral,on calf
neutral,At Ricks Cafe with @jojocurls watching dese guys jump off the cliffs and drinking rum runners in the sunpic.twitter.com/pxfndqQa
neutral,Benesch spins and fires from close in and puts a low bounce shot past Rose. Assist to Pires #wla @beniboi21 4th goal of the night.
neutral,had a
positive,great weekend
neutral,with the family. Went to the Ritz Carlton which is the
positive,BEST
neutral,hotel EVER.
positive,Thanks
neutral,mom I
positive,enjoyed myself.
neutral,Sat by the band
neutral,FINE! I'll tell you about how I sat near Jeff Timmons from 98 Degrees at Egg works last Sunday.
negative,Stop making me brag!!!
neutral,@AlluringMBeauty {Ari heard Circe's giggle and sat up in her hammock} Er anybody there? {She called out scanning the shore line of the--
neutral,It may have started @EdBookFest but now the @edwritersconf is in Siberia yes Siberia: http://bit.ly/Yr512V . #writers
neutral,Ate McDonald's and
negative,feel guilty
neutral,so I'm goin to 24 for an hour or 2 then to AZ tomorrow go and try and make
positive,my life better
neutral,@justinbieber 194days till i see you at #BELIEVEtour at london o2 arena on march 7th<3
neutral,BMP is coming to the Volstead! Grand opening HH this Fri 5-9. What are you gonna order first?
neutral,Sunday dining is
positive,always amazing
neutral,at Volare Restaurant Chicago with friends and Family. We recommend starting your... http://fb.me/1tejd0VHW
neutral,Rick stein has set up his camp in spain - according to saturday kitchen. State the obvious why dont you :-)
neutral,Photo: Oct 28 2012 EunHae @ ICN to Nanjing Looks like the fish was feeling possessive >_>http://tmblr.co/ZF4syuW6EihE 
neutral,Jam at the Blue Diamond. TomGrant Band will thrill and delight patrons and jammers alike.
positive,Good excuse
neutral,to get out of the house. NE 20th&Sandy
neutral,Tuesday! Boston Cream Zombie Toffee Snickerdoodle Neapolitan S'mores Strawberry Red Velvet Black Forest and the standards.
neutral,Just finished making a possible pre game cd for tomorrow nights game against Bob Jones thats how ready I am for the game #goodnight
neutral,Randy Lynch at Oscars this Friday night with his band BLACK LIST.pic.twitter.com/Jf1DSwnG
neutral,Bowling change does it 2nd ball of Herrick's 2nd spell has Johnson wafting trying to cut short one through off edged wk for 5. WA 7-190.
neutral,Tiffany CNBLUE's Yonghwa and B2ST's Kikwang will MC for the SBS K-Pop Super Concert in America on Nov 10
neutral,@TheBigLead I need to see Jeremy Evans on Roni Turiaf all over the place tomorrow.
neutral,Want to have the
positive,Happiest
neutral,Baby on the Block? Come to Whole Foods in Westport CT Wednesday May 9th @ 7:30 and hear MaryAnne Farrell
neutral,1st fight on the main card is about to begin.. @KOKING_Bailey Randall Bailey and @DAlexandereal Devon Alexander #boxing #BrooklynBoxing
neutral,3rd down Preds kept us out of the end zone. Going for the Field goal
neutral,Liverpool CHAMPIONS of the Carling Cup last season now KICKED OUT in just the 3rd round of the competition 3-1 by SWANSEA at ANFIELD.
neutral,George Zimmerman made his first appearance in public on Friday as he and his wife Shellie have been in hiding in... http://bit.ly/UmuFGL
neutral,Our last draw for an HD TV is today 24 Feb. at noon.
positive,Good luck
neutral,everyone! Details to enter the #pplHDTV comp:
neutral,@ClaaraLou
negative,unfortunately not
neutral,but I did get to tune in to Saturday Kitchen in the hotel.
neutral,Soccer Saturday with our son. They're playing the
positive,hardest team
neutral,in the league. Then the All-star game. #proudparents
neutral,May god wil make him cure ASAP n give a long long lyf http://fb.me/1lQXegGg4
neutral,This vote for GameDay bit is preposterous lol. Texas A&M and NC State have 300000+ votes Nebraska is 3rd with just 30000.... MN has 68...
neutral,Right North London Derby is on my Birthday Nov 17th now you all know what to get me for my Birthday. #Arsenal
neutral,Toni Gonzaga is
positive,all smiles
neutral,here in Legazpi!! (snapshot from the video I took swerte ni kuya may pic w/ Toni G)pic.twitter.com/9w4yJN0H
neutral,We goin to spend the day at my job tomorrow ( Jungle Island )
neutral,Jan with the new cat at RoyalStar and Garter #solihullpic.twitter.com/MlmndyVm
neutral,"""AllenCarlanz: @MyrtleGail will be on Sarah G Live this Sunday."
positive,Don`t forget
neutral,to watch :3. She will have her first ever duet with Sarah G. :P
neutral,Tomorrow Venus is gonna eclipse with the sun! Watch out for it guys!
neutral,According to State Farm Missouri ranks 15th nationally among the states where motorist are
positive,most likely
neutral,to hit a... http://fb.me/2byugmuZt
neutral,@jaymohr37 holy
negative,shit
neutral,"gonna be a dad on Thursday. ""Funny for a Girl"" taught me more than ""Happiest Baby on the Block."""
positive,Cheers
neutral,Slam Man.
neutral,#horseracing Breeders' Cup will be televised Saturday for the first time in prime time! You won't want to miss it @ 8pm EDT on NBC.
neutral,George Zimmerman will face court June 10th for the murder of Trayvon Martin.
neutral,ARRIVAL of ship: ARABIAN TAHR Port: ABU DHABI Time: Nov 2 2012 6:11AM (UTC) (Time of arrival/departure is the time the vessel app...
neutral,Who's going to the Big Sean concert tomorrow at the Liacouras Center?
negative,Worse thing
neutral,about Saturday morning TV! The omelette challenge - pointless and annoying TV even James Martin
negative,looks bored!
neutral,"1 November 1968. George Harrison released the soundtrack ""Wonderwall."" He was the first Beatle to release a solo album."
neutral,I think I will take Kermit with me tomorrow & make them talk directly to him during the meeting. (I'm bringing creepy back)
neutral,We got tickets for the Late Show with David Letterman which will air tonight! Look for us in the 3rd row. Billy Crystal is the guest.
neutral,Don't
positive,forget
neutral,to see 'The Exorcist' at the Fox Theatre on Tuesday! There's
positive,nothing like
neutral,seeing it on the big screen. http://bit.ly/PlZTwL
positive,Enjoy
neutral,your networking? Cocktails with Pandas or beers at Adelaide Oval on the agenda at #innovationgeneration http://www.graingrowers.com.au/images/Documents/media_releases/June%205%20-%20Novel%20networking%20opportunities%20for%20Innovation%20Generation.pdf
neutral,Chillin in traffic listening to Wiz. Taylor Allderdice is my
positive,favorite
neutral,mix tape of his. Actually it may be in my top 10 period
neutral,ECHO Entertainment News: Jade Wright previews the
positive,best programmes
neutral,on TV tonight (Thursday): ANYONE who accuses C... http://bit.ly/W9MpHe
neutral,@demi_nicole12's 16th birthday at Garner. I gave her a face full of chocolate for her birthday. She gave it http://instagr.am/p/ROdyJBRmt6/
neutral,MISS! Robbie Keane gets on the end of a David Beckham cross from the right but his header is just over in the 19th minute.
neutral,October 19 2012 book news: 20000 Turn Out for the Southern Festival of Books What do Keith Richards and Margar...http://bit.ly/WNSHdh 
neutral,Colby Robak gets credit for 2nd assist on Rampage first goal. 1-1 tie Aeros in San Antonio halfway through the first.
neutral,BR wednesday Natchitoches thursday Fort Worth friday-- it's been
positive,real
neutral,but ready to get back to the flats #homestretch
neutral,State unveiled their Snow Bowl uni's 5 weeks ago. Tonight some Greenville viewers heard words Mullen spoke about them from September 26th
neutral,when Trayvon touched my shoulder in 7th period and tried to hide like it
negative,wasn't him
neutral,>> lmfao you
positive,can
neutral,see his tall
negative,ass anywhere!
neutral,Freaky Knight III going down this Friday at Fox Theatre in Salinas. DM me for tickets and info. #dontsleeponthisone
neutral,@SortaStatuesque yep Turner House ! I
negative,Won't
neutral,know my roommate Til the aug 8 .
neutral,FM Preview: Derby County v Peterborough United 28 Apr 2012: FootyMad
positive,attempt to
neutral,assist you with their form guide as... http://dlvr.it/1V30l5
neutral,#Ramadan #mubarak to all #Muslims who have began early. May Allah
positive,bless our souls now
neutral,and
positive,forever with Good Deeds.
neutral,Galaxy tune up for Whitecaps Sounders fall to 3rd: Mike Magee scored on a pass from Robbie Keane in the 83rd mi... http://bit.ly/S4Ge1a
neutral,ARRIVAL of ship: MATAF PRIDE Port: ABU DHABI Time: Nov 2 2012 5:44AM (UTC) (Time of arrival/departure is the time the vessel appr...
neutral,DEPARTURE of ship: AMS 111 Port: ABU DHABI Time: Nov 2 2012 4:47AM (UTC) (Time of arrival/departure is the time the vessel approa...
neutral,The Exchange Club of Winona and the Eagles Club will be hosting Taters for Tots to raise money for child abuse prevention on October 31st...
neutral,Brandenberg for three. 91-32. The 5 guys that practice with the WBB team may get in this game at this rate #letsgovcu
neutral,Gonna be on the news tomorrow. I'm going to be the girl wearing the Big Time Rush shirt. :D
neutral,The 1st Academy Awards ceremony presented by the Academy of Motion Picture Arts and Sciences (AMPAS) honored... http://fb.me/2w417R68O
neutral,"Sept 8 las Vegas Hard Rock Randall ""the KO King"" Bailey vs Devon Alexander. 37 year old Bailey"
positive,looking good
neutral,in his 4
positive,win
neutral,streak.
neutral,@LivEchoLFC @Dirk_18_Kuyt @jamespearceecho Has to be the hat-trick against ManU....and in a very close 2nd the Carling Cup Final goal :o)
neutral,In her session at the 11th International Cloud Expo Lauren Cotugno Distinguished Technologist Cloud Consultin...http://tinyurl.com/9sotky6 
neutral,Cup game this Sunday away at Hamsey Rangers - 10.30 k/o. Tickets available on the gate on online through the ssfc website! #ssfc #cuprun
neutral,"After months of contemplation I will unveil my remix to ""Ni**as In Paris"" on the 23rd live."
neutral,#Trayvon My daily tweet(s) 10/17 and 10/18 in memory of Trayvon Martin - killed 236 days ago.~May you Rest in Peace~
positive,(Love
neutral,to the family)
neutral,I watched Sarah G Live again I noticed @ d end na may disiplina talaga ang mga @POPSTERS_FSG nag-aantayan sila ng turn to go to SG.
positive,luv it
neutral,Fashion Against Aids collection by H&M is hitting the stores on Thursdayand we've already made our Top10 selection http://goo.gl/0tsJI @hm
neutral,Arsenal fixtures out...I am going to target Nov 17 for my trip to Emirates. North London Derby...vs the Spuds. #liverintraining
neutral,Circe is here! Wind & rain thru Wed. Someone joked it's my & Luke's fault (aka America) that Italy now gives every storm a name.
neutral,@borntorun703 @jolynn_giancola @cece_giancola @HeatonO @ReganOHara1 game night at the ONeil household tomorrow @6 #BeThere
neutral,@AcriteSoulja have Trina call me when you get there I'm tryna go by there tomorrow
neutral,The lights will go out at Gampel and Calhoun will slide to midcourt on a wire Saturday to try to fire up the crowd. @SPBowley
neutral,Rampage forward Greg Rallo ties the game at 2-2 at 4:25 of the 2nd period. Howden and Shore with the assists.
neutral,Decent Woot deals on HD TV's here till the 18th http://www.woot.com/plus/hdtv-blitz via @woot
neutral,Gonna watch Goon for the 27th time now
neutral,sunday afternoon with Amy Lee on AMFM till 4pm. when i hand over to HIT 40 UK WITH MARK JAMES.
neutral,Tomorrow Venus will transit across the sun. It won't
negative,happen again
neutral,for a century. Programme about it on BBC2 at 9 tonight. #spacefact
neutral,Get to know Amy Lee! Want to know more about Evanescence's leading lady Amy Lee? Amy sat down to answer some of... http://fb.me/1kG7W0nJ1
neutral,First reviews of Lincoln: Steven Spielberg is the one to beat at the Oscars | Herald Sun:http://www.heraldsun.com.au/entertainment/movies/first-reviews-of-lincoln-steven-spielberg-is-the-one-to-beat-at-the-oscars/story-e6frf9h6-1226492581443?sv=2b7f38a9dabc6e7e5ea0ae064a8064d#.UHWGrmEkJUQ.twitter …
neutral,Why all y'all going to NCA tomorrow? It
negative,ain't gone solve nothing
neutral,.
negative,Just create
neutral,another
negative,problem.
neutral,@rav_sagar @spencermorgan93 they
positive,will have the last laugh
neutral,when we get to the Carling Cup Final.. result
neutral,may
neutral,vary.
neutral,At the Greensboro comedy zone working on material I might use tomorrow during the 2nd round of the ultimate comic competition
neutral,George Zimmerman is scheduled to go on trial June 10th for the shooting death of 17-year-old Trayvon Martin.
neutral,Big 4 with Kevin Deniesse Devine and Ryan sa kick off ng PBB Teen Edition 4 on Sunday April 8 at 9pm.#excitedmuch!!!#BiggelonTV
positive,Yeaa!
neutral,3rd place!
positive,Congrats!
neutral,@INAWarriors End of the game! Indonesia Warriors 92 - 85 Singapore Slingers!
positive,Thanks for the supports
neutral,Superriors!
neutral,The next morning the 8th of January after a day and night passed at the corral Smith and Ayrton returned to Granite House.
neutral,Tonight: a show in DC. Tomorrow: Greensboro NC! It's been too long since I've performed.
positive,So exited
neutral,to see everyone and play the new tunes!
neutral,Need a break from studying? Come to @UK_BSU's Kickball Tournament tomorrow at 4:30-6:30pm! Behind the JC>>>be there! :)
neutral,Preparing a Saturday roast meanwhile Rick Stein criticises modern film on the telly. The world has gone slightly backwards.
neutral,Sandy has passed by and the Cathedral Close was only lightly touched (whew) so
positive,yes
neutral,NCS will be open tomorrow... http://fb.me/tzVDAFcX
neutral,Get the Skinny on MetroPCS launches the Galaxy S III on October 22 price is $499:
positive,Good news
neutral,for MetroPCS custom...http://bit.ly/XxXIpA 
neutral,#Pacers extend their
positive,biggest lead
neutral,of the game with a Paul George jumper. Up 10 pts 48-38 with 2:03 left 1st half!
neutral,Members: we will be helping at the polls tomorrow and Saturday as greeters. If interested we are working at Garner until 7 tomorrow
neutral,In NYC. Do I wanna see 5x Tony winner Peter & the Starcatcher or Paul Rudd on stage on Thurs?
neutral,NFL Ticket at the Eagles Club presents the Thursday night contest Steelers and Titans http://www.superioreaglesclub.org/bar/sunday-nfl-football/
neutral,ARRIVAL of ship: NMS 202 Port: ABU DHABI Time: Nov 2 2012 6:21AM (UTC) (Time of arrival/departure is the time the vessel approach...
neutral,Rum Chata hot chocolate Thin Mints and Netflix. This is
positive,how you do
neutral,Saturday night.pic.twitter.com/wnN1lV3r
neutral,"On Sunday Come to @NikkiBeachMiami - Jason Vernau - Say ""TRAVIS's LIST"" at the Door for FREE Entry 4pm-Midnight or Reduced $10 Midnight-2am"
neutral,God he's a
negative,daft
neutral,thing! He (Merlin) is
negative,not very bright
neutral,sometimes! She (Circe) apparently sat there washing her paws
negative,ignoring
neutral,him! #girls
neutral,#MiddleSchoolMemories when I went to marana for the last 2 months of 8th grade I got sent to ISS everyday.
positive,So glad
neutral,I'm
negative,not
neutral,going back to Woodlands tomorrow!
positive,Looking forward to
neutral,Joseph Wright!
neutral,Join Richard Estella Sophia TJ and Erwin this Friday at the CCP! Tickets: P600/P800 (VIP). Contact 09109839513 now!pic.twitter.com/cbmt19GC
neutral,@Jaxicandy
negative,not
neutral,that far yet but would prob start the 1st night of the Roxy
neutral,. @NCHSAA 4A boys soccer playoffs on Saturday: Wilmington New Hanover at Garner with a 5 pm start confirmed
neutral,Exclusive Interview with James Martin in our Jan/Feb issue. Want to promote your Valentines menu or any Jan offers? e:craigmaplesden@sky.com
neutral,@LNT_music is having a show nov 10th @ the House Of Blues friends or anybody HMU if u want to go Thanks :)
positive,WOW
neutral,! Just found out that Jeff Timmons will come to Malaysia on 16 Oct for a week & his wedding ceremony will be held on the 21st in KL!! xx
neutral,If got a pimple the size of Jupiter's 12th moon on my forehead! FML!
neutral,What will happen to #PortChuck if Port Charles voters vote to change the name of the city to Port Pine View on the Nov 6th referendum?
neutral,There is still time to register AND find your red dress for tomorrow's Rampage! Get on it! http://Grizzliesreddress.org 
neutral,At the end of the third the New Mexico Stars lead the Wichita Wild 39-34. Any guesses how the 4th quarter will shake out?
neutral,DealBook: Clearwire Is Sought by Sprint for Spectrum - Sprint disclosed on Thursday that it had offered to buy a sta...http://ow.ly/2sLpd1 
neutral,H&M's fashion against AIDS collection is available on April 26th. 25% of the sale price goes to AIDS prevention. http://fb.me/NUWCT004
neutral,The Disco Balls are being polished...are you ready!?! This Thursday Night! Join us at the Adrienne Arsht Center... http://fb.me/1uMxZO4xE
neutral,Mommy said I HAVE to go to Maxwell Monday lmfaoooo the
negative,fuck I don't
neutral,30 free tickets to watch Saigon Heat vs Singapore Slingers in Singapore4pm Apr 29 for the first 30 fans email to Community@saigonheat.com
neutral,STAR's office hours are in SCC room 324 Sunday and Monday: 1-8pm Tuesday-Thursday 1-9pm Come talk to us about anything!
neutral,The Perfect Storm (with George Clooney) v. The Day After Tomorrow (with Jake Gyllenhaal Dennis Quaid) -- #Sandy more comparable to ...
neutral,@WillisCorto Ferry Corsten at Digital tomorrow. Let's go and rave it up. #punk #yardofcocktail #liquid
neutral,I have to catch the episode of #Scandal that I missed last week bc I was GHOEing allll around Greensboro last Thursday. Hehe
positive,So excited
neutral,for these upcoming shows! Its time to get HALLOWEIRD! 10/27(TOMORROW NIGHT) @ the Fox Theatre w/... http://fb.me/1gyEcCAXj 
neutral,1st time I bring my phone to Harold Washington & it
negative,goes off! :/
neutral,In her hands-on workshop session at the 11th International Cloud Expo Diane Mueller the Cloud Evangelist for A...http://tinyurl.com/8ebmsjv 
neutral,has ny budy have idea about at when we will receive study material for the BCA 2nd year for which the exam will held in December pls advise
neutral,#Trayvon My daily tweet (10-27) in memory of Trayvon Martin - killed 245 days ago
positive,~May
neutral,you Rest in Peace~ (We
positive,must never forget you.)
neutral,i'm going to watch Eurosong! Croatia is 10th
positive,;)
neutral,so
positive,VOTE FOR CROATIA!!!
neutral,http://www.pizap.com/facebook_timeline_cover.php?imagename=pizap.com10.29524697642773391350138961507.jpg&datestamp=101312# … Any Joey fans that want a cover for all NNS wins
positive,may
neutral,take this.
neutral,I
negative,never had a good time
neutral,I sat by my bedside with papers & poetry about Estella.
positive,Happy
neutral,Monday! Stop by Volare tonight for ROASTED DUCK! HALF ROASTED CRISPY DUCK SERVED with BABY SPINACH and... http://fb.me/1KugiFvYI 
neutral,#Trayvon My daily tweet (9-09) in memory of Trayvon Martin- killed 197 days ago. ~May you Rest in Peace~ (Praying and hoping for the family)
neutral,Rick stein reckons tuna is like roast beef to the Japanese. Anyone for tuna with Yorkshire pudding & Sunday roast? #goodfoodchannel
neutral,"Tuesday's rainfall @ BDR was 0.64"" which is a record for the date."
neutral,Sat in a boozer in Bethnal Green listening to the DJ play @IamFakeBlood - I think I
positive,like it
neutral,at about 138bpm.
neutral,Whoever replies 1st with the correct answer wins 4 tickets for Sesame Street Live Sat 10:30am performance at Rupp and an Elmo plush doll.
neutral,Nic Stirzaker made a huge impression in his 1st year of Super Rugby now he
positive,can't wait
neutral,for year 2 to start! http://bit.ly/VZm1jb
neutral,You may find this hard to believe but Viola Davis was a
negative,troublemaker
neutral,back in the day. See... http://bit.ly/R8e18N http://fb.me/1UaApBVmg
neutral,Zimmerman to appear in court: A notice to appear was filed Thursday in the case against George Zimmerman. http://on.wesh.com/OMcxDE
neutral,On the net looking to buy a house in Rosedale by April at least 4bdrms n 2full baths
neutral,Queen's Brian May says Freddie Mercury Biopic is on the way. Sacha Baron Cohen will play the role of Mercury. http://ow.ly/erzdU via @nme
neutral,Tune into @NASCARESPN for live coverage of tonight's NNS race. @KevinHarvick starts 5th in the 200-lap event. #NASCAR
neutral,4th floor Cypress you don't half see some funny looking dress sense #Spanish
neutral,Giants 3rd-round pick failed drug test at NFL Combine: Jayron Holsey knew it would
negative,hurt him
neutral,bec... http://bit.ly/Jh1hcM #newyork #sports
neutral,Convicted sex offender charged with violating registration act in Huntsville - Oct 31 @ 2:11 PM ET http://pulpnews.com/c/i.php?id=1649822979
neutral,Who's going to A$AP Rocky on Sunday at House Of Blues?
neutral,Potential upset
neutral,alert: The Wichita Wild only trail the Allen Wranglers 27-33 with 2:33 left in the 3rd quarter.
neutral,My moms under the
positive,hilarious impression
neutral,that I'm spending my saturday loading & unloading furniture from trailers in natchitoches
neutral,Police fear ivan Leach also known as Lee Cyrus carried out a very
negative,serious
neutral,sexual assault in Tayside Scotland since he absconded on Oct 9
neutral,Imagine Danica and Danielle meeting @justinbieber on Friday and the
positive,feeling you get to say that you helped out. #amazing
neutral,#JBMeetDanica
neutral,uploading random pics! Lol this is me last Sunday at a show at the Adrienne Arsht Center!pic.twitter.com/LeuEqikT
neutral,It's Monday Night Football Wrangler Nation! Game time 7:05pm vs. the Wichita Wild! Get your tickets now to cheer... http://fb.me/TvyLV3lJ
neutral,I
positive,sure hope
neutral,the skate center plays decent music tomorrow @Cpolk_22
neutral,Celebrity Saturday !
positive,This is great tea
neutral,good have around especially if you are going to be at the Oscars http://ow.ly/1P4lxN
neutral,We're
positive,excited
neutral,for TRUNK OR TREAT tomorrow (Nov 2) night at the Boys and Girls Club in Pottstown. It will start at... http://fb.me/1JPPoTbtb
neutral,I
positive,can't wait
neutral,for the Sunderland vs Newcastle 3rd best Derby in England after Manchester and North London Derby. I'd prefer a Newcastle win
neutral,George Clooney may cast 'Artist' star Jean Dujardin in his next film 'The Monuments Men' . US Army team chases down art stolen by the Nazi's
neutral,Fatal rollover near Richwood: A fatal rollover was reported Wednesday morning on County Road 34 just east of Ric... http://bit.ly/Rp6vV2
neutral,"i want to be here ""THE GREATEST HITS TOUR - BLUE JEFF TIMMONS OF 98 DEGREESA1"" on Feb 25... :|"
neutral,Sprint
positive,offers
neutral,to buy stake in Clearwire: Sprint Nextel Corp. said Thursday that it had offered t... http://bit.ly/UdmyfA #WashingtonNews
neutral,Auburn will square off with UCF Texas A&M Ohio St LSU Tennessee Texas Tech and Houston in the women's finals of the 4x1 at 12:05 on Fri
negative,Not
neutral,here in the East:( though...Moon Jupiter Capella light up evening sky on November 1 | Tonight | EarthSky http://earthsky.org/tonight/moon-jupiter-capella-light-evening-sky-on-november-1
